Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,842551,30,BANKEX,BANKEX25SEP58900CE,OPTIDX,25-SEP-2025,58900,CE
BFO,842206,30,BANKEX,BANKEX25SEP57100CE,OPTIDX,25-SEP-2025,57100,CE
BFO,842488,30,BANKEX,BANKEX25SEP57000CE,OPTIDX,25-SEP-2025,57000,CE
BFO,843027,30,BANKEX,BANKEX25SEP56900CE,OPTIDX,25-SEP-2025,56900,CE
BFO,842626,30,BANKEX,BANKEX25SEP56800CE,OPTIDX,25-SEP-2025,56800,CE
BFO,842938,30,BANKEX,BANKEX25SEP56700CE,OPTIDX,25-SEP-2025,56700,CE
BFO,842016,30,BANKEX,BANKEX25SEP56600CE,OPTIDX,25-SEP-2025,56600,CE
BFO,842861,30,BANKEX,BANKEX25SEP56500CE,OPTIDX,25-SEP-2025,56500,CE
BFO,841933,30,BANKEX,BANKEX25SEP56400CE,OPTIDX,25-SEP-2025,56400,CE
BFO,842768,30,BANKEX,BANKEX25SEP56300CE,OPTIDX,25-SEP-2025,56300,CE
BFO,843099,30,BANKEX,BANKEX25SEP56200CE,OPTIDX,25-SEP-2025,56200,CE
BFO,842163,30,BANKEX,BANKEX25SEP56100CE,OPTIDX,25-SEP-2025,56100,CE
BFO,847885,30,BANKEX,BANKEX25SEP56000CE,OPTIDX,25-SEP-2025,56000,CE
BFO,847678,30,BANKEX,BANKEX25SEP55900CE,OPTIDX,25-SEP-2025,55900,CE
BFO,858019,30,BANKEX,BANKEX25SEP55800CE,OPTIDX,25-SEP-2025,55800,CE
BFO,842568,30,BANKEX,BANKEX25SEP57200CE,OPTIDX,25-SEP-2025,57200,CE
BFO,842280,30,BANKEX,BANKEX25SEP57300CE,OPTIDX,25-SEP-2025,57300,CE
BFO,842645,30,BANKEX,BANKEX25SEP57400CE,OPTIDX,25-SEP-2025,57400,CE
BFO,842864,30,BANKEX,BANKEX25SEP58800CE,OPTIDX,25-SEP-2025,58800,CE
BFO,841936,30,BANKEX,BANKEX25SEP58700CE,OPTIDX,25-SEP-2025,58700,CE
BFO,842770,30,BANKEX,BANKEX25SEP58600CE,OPTIDX,25-SEP-2025,58600,CE
BFO,843101,30,BANKEX,BANKEX25SEP58500CE,OPTIDX,25-SEP-2025,58500,CE
BFO,842690,30,BANKEX,BANKEX25SEP58400CE,OPTIDX,25-SEP-2025,58400,CE
BFO,843014,30,BANKEX,BANKEX25SEP58300CE,OPTIDX,25-SEP-2025,58300,CE
BFO,842087,30,BANKEX,BANKEX25SEP58200CE,OPTIDX,25-SEP-2025,58200,CE
BFO,842925,30,BANKEX,BANKEX25SEP58100CE,OPTIDX,25-SEP-2025,58100,CE
BFO,842008,30,BANKEX,BANKEX25SEP58000CE,OPTIDX,25-SEP-2025,58000,CE
BFO,842498,30,BANKEX,BANKEX25SEP57900CE,OPTIDX,25-SEP-2025,57900,CE
BFO,842142,30,BANKEX,BANKEX25SEP57800CE,OPTIDX,25-SEP-2025,57800,CE
BFO,842427,30,BANKEX,BANKEX25SEP57700CE,OPTIDX,25-SEP-2025,57700,CE
BFO,842064,30,BANKEX,BANKEX25SEP57600CE,OPTIDX,25-SEP-2025,57600,CE
BFO,842353,30,BANKEX,BANKEX25SEP57500CE,OPTIDX,25-SEP-2025,57500,CE
BFO,858053,30,BANKEX,BANKEX25SEP55700CE,OPTIDX,25-SEP-2025,55700,CE
BFO,858242,30,BANKEX,BANKEX25SEP55600CE,OPTIDX,25-SEP-2025,55600,CE
BFO,864163,30,BANKEX,BANKEX25SEP53800CE,OPTIDX,25-SEP-2025,53800,CE
BFO,864296,30,BANKEX,BANKEX25SEP53700CE,OPTIDX,25-SEP-2025,53700,CE
BFO,864125,30,BANKEX,BANKEX25SEP53600CE,OPTIDX,25-SEP-2025,53600,CE
BFO,873529,30,BANKEX,BANKEX25SEP53500CE,OPTIDX,25-SEP-2025,53500,CE
BFO,873541,30,BANKEX,BANKEX25SEP53400CE,OPTIDX,25-SEP-2025,53400,CE
BFO,873645,30,BANKEX,BANKEX25SEP53300CE,OPTIDX,25-SEP-2025,53300,CE
BFO,873594,30,BANKEX,BANKEX25SEP53200CE,OPTIDX,25-SEP-2025,53200,CE
BFO,875537,30,BANKEX,BANKEX25SEP53100CE,OPTIDX,25-SEP-2025,53100,CE
BFO,874383,30,BANKEX,BANKEX25SEP53000CE,OPTIDX,25-SEP-2025,53000,CE
BFO,874097,30,BANKEX,BANKEX25SEP52900CE,OPTIDX,25-SEP-2025,52900,CE
BFO,874357,30,BANKEX,BANKEX25SEP52800CE,OPTIDX,25-SEP-2025,52800,CE
BFO,876260,30,BANKEX,BANKEX25SEP52700CE,OPTIDX,25-SEP-2025,52700,CE
BFO,873882,30,BANKEX,BANKEX25SEP52600CE,OPTIDX,25-SEP-2025,52600,CE
BFO,876774,30,BANKEX,BANKEX25SEP52500CE,OPTIDX,25-SEP-2025,52500,CE
BFO,864024,30,BANKEX,BANKEX25SEP53900CE,OPTIDX,25-SEP-2025,53900,CE
BFO,864340,30,BANKEX,BANKEX25SEP54000CE,OPTIDX,25-SEP-2025,54000,CE
BFO,863507,30,BANKEX,BANKEX25SEP54100CE,OPTIDX,25-SEP-2025,54100,CE
BFO,857986,30,BANKEX,BANKEX25SEP55500CE,OPTIDX,25-SEP-2025,55500,CE
BFO,858182,30,BANKEX,BANKEX25SEP55400CE,OPTIDX,25-SEP-2025,55400,CE
BFO,858091,30,BANKEX,BANKEX25SEP55300CE,OPTIDX,25-SEP-2025,55300,CE
BFO,858131,30,BANKEX,BANKEX25SEP55200CE,OPTIDX,25-SEP-2025,55200,CE
BFO,860712,30,BANKEX,BANKEX25SEP55100CE,OPTIDX,25-SEP-2025,55100,CE
BFO,860491,30,BANKEX,BANKEX25SEP55000CE,OPTIDX,25-SEP-2025,55000,CE
BFO,860778,30,BANKEX,BANKEX25SEP54900CE,OPTIDX,25-SEP-2025,54900,CE
BFO,860948,30,BANKEX,BANKEX25SEP54800CE,OPTIDX,25-SEP-2025,54800,CE
BFO,860739,30,BANKEX,BANKEX25SEP54700CE,OPTIDX,25-SEP-2025,54700,CE
BFO,862480,30,BANKEX,BANKEX25SEP54600CE,OPTIDX,25-SEP-2025,54600,CE
BFO,862809,30,BANKEX,BANKEX25SEP54500CE,OPTIDX,25-SEP-2025,54500,CE
BFO,863257,30,BANKEX,BANKEX25SEP54400CE,OPTIDX,25-SEP-2025,54400,CE
BFO,862771,30,BANKEX,BANKEX25SEP54300CE,OPTIDX,25-SEP-2025,54300,CE
BFO,863559,30,BANKEX,BANKEX25SEP54200CE,OPTIDX,25-SEP-2025,54200,CE
BFO,861441,30,BANKEX,BANKEX25OCT69800PE,OPTIDX,30-OCT-2025,69800,PE
BFO,842827,30,BANKEX,BANKEX25SEP65500CE,OPTIDX,25-SEP-2025,65500,CE
BFO,842670,30,BANKEX,BANKEX25SEP63700CE,OPTIDX,25-SEP-2025,63700,CE
BFO,842304,30,BANKEX,BANKEX25SEP63600CE,OPTIDX,25-SEP-2025,63600,CE
BFO,842595,30,BANKEX,BANKEX25SEP63500CE,OPTIDX,25-SEP-2025,63500,CE
BFO,842227,30,BANKEX,BANKEX25SEP63400CE,OPTIDX,25-SEP-2025,63400,CE
BFO,842512,30,BANKEX,BANKEX25SEP63300CE,OPTIDX,25-SEP-2025,63300,CE
BFO,842823,30,BANKEX,BANKEX25SEP63200CE,OPTIDX,25-SEP-2025,63200,CE
BFO,842443,30,BANKEX,BANKEX25SEP63100CE,OPTIDX,25-SEP-2025,63100,CE
BFO,842737,30,BANKEX,BANKEX25SEP63000CE,OPTIDX,25-SEP-2025,63000,CE
BFO,842041,30,BANKEX,BANKEX25SEP62900CE,OPTIDX,25-SEP-2025,62900,CE
BFO,842885,30,BANKEX,BANKEX25SEP62800CE,OPTIDX,25-SEP-2025,62800,CE
BFO,841957,30,BANKEX,BANKEX25SEP62700CE,OPTIDX,25-SEP-2025,62700,CE
BFO,842262,30,BANKEX,BANKEX25SEP62600CE,OPTIDX,25-SEP-2025,62600,CE
BFO,843123,30,BANKEX,BANKEX25SEP62500CE,OPTIDX,25-SEP-2025,62500,CE
BFO,842187,30,BANKEX,BANKEX25SEP62400CE,OPTIDX,25-SEP-2025,62400,CE
BFO,842376,30,BANKEX,BANKEX25SEP63800CE,OPTIDX,25-SEP-2025,63800,CE
BFO,842752,30,BANKEX,BANKEX25SEP63900CE,OPTIDX,25-SEP-2025,63900,CE
