Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
MCX,458294,1,ALUMINI,ALUMINI31OCT25,FUTCOM,31-OCT-2025,0.00,XX
MCX,463270,1,ALUMINI,ALUMINI28NOV25,FUTCOM,28-NOV-2025,0.00,XX
MCX,456953,1,ALUMINI,ALUMINI30SEP25,FUTCOM,30-SEP-2025,0.00,XX
MCX,466013,1,ALUMINI,ALUMINI31DEC25,FUTCOM,31-DEC-2025,0.00,XX
MCX,467732,1,ALUMINI,ALUMINI30JAN26,FUTCOM,30-JAN-2026,0.00,XX
MCX,458293,5,ALUMINIUM,ALUMINIUM31OCT25,FUTCOM,31-OCT-2025,0.00,XX
MCX,463271,5,ALUMINIUM,ALUMINIUM28NOV25,FUTCOM,28-NOV-2025,0.00,XX
MCX,456954,5,ALUMINIUM,ALUMINIUM30SEP25,FUTCOM,30-SEP-2025,0.00,XX
MCX,466014,5,ALUMINIUM,ALUMINIUM31DEC25,FUTCOM,31-DEC-2025,0.00,XX
MCX,467731,5,ALUMINIUM,ALUMINIUM30JAN26,FUTCOM,30-JAN-2026,0.00,XX
MCX,465833,100,CARDAMOM,CARDAMOM31OCT25,FUTCOM,31-OCT-2025,0.00,XX
MCX,465834,100,CARDAMOM,CARDAMOM28NOV25,FUTCOM,28-NOV-2025,0.00,XX
MCX,466034,100,CARDAMOM,CARDAMOM31DEC25,FUTCOM,31-DEC-2025,0.00,XX
MCX,467747,100,CARDAMOM,CARDAMOM30JAN26,FUTCOM,30-JAN-2026,0.00,XX
MCX,465832,100,CARDAMOM,CARDAMOM30SEP25,FUTCOM,30-SEP-2025,0.00,XX
MCX,463284,2500,COPPER,COPPER24OCT25C895,OPTFUT,24-OCT-2025,895.00,CE
MCX,463285,2500,COPPER,COPPER24OCT25C890,OPTFUT,24-OCT-2025,890.00,CE
MCX,463286,2500,COPPER,COPPER24OCT25C885,OPTFUT,24-OCT-2025,885.00,CE
MCX,463287,2500,COPPER,COPPER24OCT25C880,OPTFUT,24-OCT-2025,880.00,CE
MCX,463288,2500,COPPER,COPPER24OCT25C875,OPTFUT,24-OCT-2025,875.00,CE
MCX,463283,2500,COPPER,COPPER24OCT25C900,OPTFUT,24-OCT-2025,900.00,CE
MCX,463280,2500,COPPER,COPPER24OCT25P905,OPTFUT,24-OCT-2025,905.00,PE
MCX,458534,2500,COPPER,COPPER23SEP25C920,OPTFUT,23-SEP-2025,920.00,CE
MCX,463279,2500,COPPER,COPPER24OCT25C905,OPTFUT,24-OCT-2025,905.00,CE
MCX,463140,2500,COPPER,COPPER23SEP25P935,OPTFUT,23-SEP-2025,935.00,PE
MCX,463137,2500,COPPER,COPPER23SEP25C935,OPTFUT,23-SEP-2025,935.00,CE
MCX,461986,2500,COPPER,COPPER23SEP25P930,OPTFUT,23-SEP-2025,930.00,PE
MCX,458388,2500,COPPER,COPPER23SEP25P915,OPTFUT,23-SEP-2025,915.00,PE
MCX,461985,2500,COPPER,COPPER23SEP25C930,OPTFUT,23-SEP-2025,930.00,CE
MCX,458703,2500,COPPER,COPPER23SEP25P925,OPTFUT,23-SEP-2025,925.00,PE
MCX,458701,2500,COPPER,COPPER23SEP25C925,OPTFUT,23-SEP-2025,925.00,CE
MCX,458536,2500,COPPER,COPPER23SEP25P920,OPTFUT,23-SEP-2025,920.00,PE
MCX,463289,2500,COPPER,COPPER24OCT25C870,OPTFUT,24-OCT-2025,870.00,CE
MCX,463290,2500,COPPER,COPPER24OCT25C910,OPTFUT,24-OCT-2025,910.00,CE
MCX,463291,2500,COPPER,COPPER24OCT25C915,OPTFUT,24-OCT-2025,915.00,CE
MCX,463308,2500,COPPER,COPPER24OCT25P930,OPTFUT,24-OCT-2025,930.00,PE
MCX,463307,2500,COPPER,COPPER24OCT25P925,OPTFUT,24-OCT-2025,925.00,PE
MCX,463306,2500,COPPER,COPPER24OCT25P920,OPTFUT,24-OCT-2025,920.00,PE
MCX,463305,2500,COPPER,COPPER24OCT25P915,OPTFUT,24-OCT-2025,915.00,PE
MCX,463304,2500,COPPER,COPPER24OCT25P910,OPTFUT,24-OCT-2025,910.00,PE
MCX,463303,2500,COPPER,COPPER24OCT25P870,OPTFUT,24-OCT-2025,870.00,PE
MCX,463302,2500,COPPER,COPPER24OCT25P875,OPTFUT,24-OCT-2025,875.00,PE
MCX,463301,2500,COPPER,COPPER24OCT25P880,OPTFUT,24-OCT-2025,880.00,PE
MCX,463300,2500,COPPER,COPPER24OCT25P885,OPTFUT,24-OCT-2025,885.00,PE
MCX,463299,2500,COPPER,COPPER24OCT25P890,OPTFUT,24-OCT-2025,890.00,PE
MCX,463298,2500,COPPER,COPPER24OCT25P895,OPTFUT,24-OCT-2025,895.00,PE
