Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,26086,1,Nifty Multi Infra,Nifty Multi Infra,INDEX,,0,
NSE,26085,1,Nifty Multi Mfg,Nifty Multi Mfg,INDEX,,0,
NSE,26084,1,Nifty MidSml Hlth,Nifty MidSml Hlth,INDEX,,0,
NSE,26083,1,Nifty Tata 25 Cap,Nifty Tata 25 Cap,INDEX,,0,
NSE,26082,1,NiftyM150Momntm50,NiftyM150Momntm50,INDEX,,0,
NSE,26081,1,Nifty200 Alpha 30,Nifty200 Alpha 30,INDEX,,0,
NSE,26080,1,NIFTY INDIA MFG,NIFTY INDIA MFG,INDEX,,0,
NSE,26079,1,NIFTY M150 QLTY50,NIFTY M150 QLTY50,INDEX,,0,
NSE,26078,1,NIFTY100 ESG,NIFTY100 ESG,INDEX,,0,
NSE,26077,1,NIFTY IND DIGITAL,NIFTY IND DIGITAL,INDEX,,0,
NSE,26076,1,NIFTY MICROCAP250,NIFTY MICROCAP250,INDEX,,0,
NSE,26075,1,NIFTY TOTAL MKT,NIFTY TOTAL MKT,INDEX,,0,
NSE,26074,1,NIFTY MID SELECT,NIFTY MID SELECT,INDEX,,0,
NSE,26073,1,NIFTY LARGEMID250,NIFTY LARGEMID250,INDEX,,0,
NSE,26072,1,NIFTY500 MULTICAP,NIFTY500 MULTICAP,INDEX,,0,
NSE,26071,1,NIFTY OIL AND GAS,NIFTY OIL AND GAS,INDEX,,0,
NSE,26070,1,NIFTY CONSR DURBL,NIFTY CONSR DURBL,INDEX,,0,
NSE,26069,1,NIFTY HEALTHCARE,NIFTY HEALTHCARE,INDEX,,0,
NSE,26068,1,Nifty100ESGSecLdr,Nifty100ESGSecLdr,INDEX,,0,
NSE,26067,1,Nifty200Momentm30,Nifty200Momentm30,INDEX,,0,
NSE,26066,1,NIFTY AlphaLowVol,NIFTY AlphaLowVol,INDEX,,0,
NSE,26065,1,Nifty FinSrv25 50,Nifty FinSrv25 50,INDEX,,0,
NSE,26064,1,NIFTY200 QUALTY30,NIFTY200 QUALTY30,INDEX,,0,
NSE,26063,1,NIFTY MIDSML 400,NIFTY MIDSML 400,INDEX,,0,
NSE,26062,1,NIFTY SMLCAP 250,NIFTY SMLCAP 250,INDEX,,0,
NSE,26061,1,NIFTY SMLCAP 50,NIFTY SMLCAP 50,INDEX,,0,
NSE,26060,1,NIFTY MIDCAP 150,NIFTY MIDCAP 150,INDEX,,0,
NSE,26059,1,NIFTY Alpha 50,NIFTY Alpha 50,INDEX,,0,
NSE,26058,1,NIFTY100 LowVol30,NIFTY100 LowVol30,INDEX,,0,
NSE,26057,1,NIFTY100 EQL Wgt,NIFTY100 EQL Wgt,INDEX,,0,
NSE,26056,1,NIFTY50 EQL Wgt,NIFTY50 EQL Wgt,INDEX,,0,
NSE,26055,1,Nifty GS Compsite,Nifty GS Compsite,INDEX,,0,
