Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NFO,49347,35,BANKNIFTY,BANKNIFTY25NOV25P39000,OPTIDX,25-NOV-2025,39000.00,PE
NFO,49298,35,BANKNIFTY,BANKNIFTY25NOV25C36500,OPTIDX,25-NOV-2025,36500.00,CE
NFO,49297,35,BANKNIFTY,BANKNIFTY25NOV25P36000,OPTIDX,25-NOV-2025,36000.00,PE
NFO,49296,35,BANKNIFTY,BANKNIFTY25NOV25C36000,OPTIDX,25-NOV-2025,36000.00,CE
NFO,49295,35,BANKNIFTY,BANKNIFTY25NOV25P35500,OPTIDX,25-NOV-2025,35500.00,PE
NFO,49294,35,BANKNIFTY,BANKNIFTY25NOV25C35500,OPTIDX,25-NOV-2025,35500.00,CE
NFO,49293,35,BANKNIFTY,BANKNIFTY25NOV25P35000,OPTIDX,25-NOV-2025,35000.00,PE
NFO,49292,35,BANKNIFTY,BANKNIFTY25NOV25C35000,OPTIDX,25-NOV-2025,35000.00,CE
NFO,49291,35,BANKNIFTY,BANKNIFTY25NOV25P34500,OPTIDX,25-NOV-2025,34500.00,PE
NFO,49290,35,BANKNIFTY,BANKNIFTY25NOV25C34500,OPTIDX,25-NOV-2025,34500.00,CE
NFO,49289,35,BANKNIFTY,BANKNIFTY25NOV25P34000,OPTIDX,25-NOV-2025,34000.00,PE
NFO,49288,35,BANKNIFTY,BANKNIFTY25NOV25C34000,OPTIDX,25-NOV-2025,34000.00,CE
NFO,49287,35,BANKNIFTY,BANKNIFTY25NOV25P33500,OPTIDX,25-NOV-2025,33500.00,PE
NFO,49299,35,BANKNIFTY,BANKNIFTY25NOV25P36500,OPTIDX,25-NOV-2025,36500.00,PE
NFO,49300,35,BANKNIFTY,BANKNIFTY25NOV25C37000,OPTIDX,25-NOV-2025,37000.00,CE
NFO,49346,35,BANKNIFTY,BANKNIFTY25NOV25C39000,OPTIDX,25-NOV-2025,39000.00,CE
NFO,49345,35,BANKNIFTY,BANKNIFTY25NOV25P38900,OPTIDX,25-NOV-2025,38900.00,PE
NFO,49344,35,BANKNIFTY,BANKNIFTY25NOV25C38900,OPTIDX,25-NOV-2025,38900.00,CE
NFO,49341,35,BANKNIFTY,BANKNIFTY25NOV25P38800,OPTIDX,25-NOV-2025,38800.00,PE
NFO,49340,35,BANKNIFTY,BANKNIFTY25NOV25C38800,OPTIDX,25-NOV-2025,38800.00,CE
NFO,49339,35,BANKNIFTY,BANKNIFTY25NOV25P38500,OPTIDX,25-NOV-2025,38500.00,PE
NFO,49338,35,BANKNIFTY,BANKNIFTY25NOV25C38500,OPTIDX,25-NOV-2025,38500.00,CE
NFO,49337,35,BANKNIFTY,BANKNIFTY25NOV25P38000,OPTIDX,25-NOV-2025,38000.00,PE
NFO,49311,35,BANKNIFTY,BANKNIFTY25NOV25C38000,OPTIDX,25-NOV-2025,38000.00,CE
NFO,49309,35,BANKNIFTY,BANKNIFTY25NOV25P37500,OPTIDX,25-NOV-2025,37500.00,PE
NFO,49302,35,BANKNIFTY,BANKNIFTY25NOV25C37500,OPTIDX,25-NOV-2025,37500.00,CE
NFO,49301,35,BANKNIFTY,BANKNIFTY25NOV25P37000,OPTIDX,25-NOV-2025,37000.00,PE
NFO,49285,35,BANKNIFTY,BANKNIFTY25NOV25C33500,OPTIDX,25-NOV-2025,33500.00,CE
NFO,49284,35,BANKNIFTY,BANKNIFTY25NOV25P33000,OPTIDX,25-NOV-2025,33000.00,PE
NFO,49281,35,BANKNIFTY,BANKNIFTY25NOV25C33000,OPTIDX,25-NOV-2025,33000.00,CE
NFO,49249,35,BANKNIFTY,BANKNIFTY28OCT25P38900,OPTIDX,28-OCT-2025,38900.00,PE
NFO,49248,35,BANKNIFTY,BANKNIFTY28OCT25C38900,OPTIDX,28-OCT-2025,38900.00,CE
